Country.Name,"Compulsory education, duration (years)","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",Individuals using the Internet (% of population),Rural population (% of total population),"Life expectancy at birth, total (years)",Scientific and technical journal articles
Pakistan,12,24.931622505188,19.014307936666665,62.5434,66.3885,15832.96
Palau,12,95.7820434570312,NA,18.539,NA,5.895
Panama,11,67.0353374481201,65.56000768,31.2198,76.87899999999999,257.275
Papua New Guinea,NA,NA,26.587481343333334,86.5288,65.6425,67.89
Paraguay,13,53.825000762939425,73.93817297,37.495,71.88499999999999,158.625
Peru,14,55.99750041961673,67.74626981,21.4948,73.89575,2447.01
Philippines,13,66.88949012756348,47.6047527,52.299,71.35925,3264.48
Poland,8.4,94.93609046936038,83.9842096925,39.8986,76.8030487804878,35791.479999999996
Portugal,12,61.0825357437134,80.103493215,33.158,81.40243902439028,16513.625
Puerto Rico,13,NA,81.26155168,6.4014000000000015,79.2465,573.2
Qatar,10.8,83.38615226745605,99.76855111333333,0.7253999999999992,80.23,2065.87
Romania,10,89.97136116027832,80.30156561000001,45.6464,74.4939024390244,9934.205
Russian Federation,11,98.2764892578125,86.567167265,25.0536,71.71713414634148,88567.58499999999
Rwanda,6,17.3562958240509,25.206609,82.4148,66.60300000000001,226.68
Samoa,8,92.4423065185547,69.55410921333333,82.23780000000001,72.57249999999999,15.204999999999998
San Marino,10,86.01213836669925,71.06548851333334,2.389000000000002,NA,11.7
Sao Tome and Principe,6,NA,40.58212647333333,24.9638,68.17325,2.23
Saudi Arabia,9,71.2748794555664,98.396767025,15.4922,77.096,15032.380000000001
Senegal,11,8.94958972930908,47.15695714,51.392,67.8845,379.40999999999997
Serbia,8,74.88196754455566,80.1222393475,43.3314,74.66932926829267,4840.26
Seychelles,10,NA,77.27286027666666,42.0294,74.63231707317073,21.995
Sierra Leone,9,14.3607997894287,17.4,56.618,60.122749999999996,56.93
Singapore,6,83.72831153869627,93.458036385,0,83.28170731707317,11949.635
Sint Maarten (Dutch part),14,NA,NA,0,74.6005,NA
Slovak Republic,10.6,98.99258041381835,87.23338995333333,46.151,76.55304878048783,5502.8150000000005
Slovenia,9,98.06167411804199,86.90651891,44.5588,81.0048780487805,3764.0550000000003
Solomon Islands,NA,NA,33.40298037,74.8742,70.41775,14.49
Somalia,8,4.44926023483276,NA,53.266,56.108000000000004,24.345
South Africa,9,76.57403564453125,70.77589234666667,32.1578,63.812,15441.885
South Sudan,8,NA,6.05,79.46940000000001,55.4835,11.594999999999999
Spain,10,79.73362350463867,93.076844755,18.9426,83.1189024390244,62194.925
Sri Lanka,11,81.47521972656247,43.775049646666666,81.12100000000001,76.35249999999999,1690.22
St. Kitts and Nevis,12,NA,79.87203856333333,69.073,71.727,33.785
St. Lucia,10,49.8538093566895,77.53906253,81.04860000000001,72.31649999999999,4.04
St. Martin (French part),NA,NA,NA,NA,80.26525000000001,NA
St. Vincent and the Grenadines,12,NA,79.77022866666667,46.5456,70.8905,6.965
Sudan,8,NA,27.15,64.384,65.58375000000001,379.75
Suriname,6,NA,61.609307656666665,33.763799999999996,71.3415,19.490000000000002
Sweden,10,94.48658180236815,94.67822357,11.7694,82.9079268292683,21424.75
Switzerland,11,97.33874320983884,94.35513687333334,25.9892,83.52743902439025,22705.989999999998
Syrian Arab Republic,9,NA,35.215,43.8804,72.08125,395.06
Tajikistan,9,NA,NA,72.2514,70.43575,97.965
Tanzania,7,1.64541304111481,24.452632246666667,64.04560000000001,66.595,836.1700000000001
Thailand,9,49.3944854736328,79.4357519475,47.8436,79.161,13715.49
Timor-Leste,9,46.9296875,33.86171403666667,68.30160000000001,68.384,12.98
Togo,10,20.5712985992432,28.262405153333333,56.6366,61.28575,85.67
Tonga,15,94.1549835205078,66.67488021333332,76.881,71.01375,5.93
Trinidad and Tobago,7,72.2669792175293,78.87871215333334,46.711,74.07825,233.04
Tunisia,9,38.8616981506348,72.83237896,30.1064,74.83,5097.165
Turkiye,12,46.271080970764146,79.1229665,23.4422,77.04724999999999,40026.66499999999
Turkmenistan,12,98.0125885009766,NA,46.9882,69.09075,4.11
Turks and Caicos Islands,13,87.0352401733398,NA,6.1814,74.95975,NA
Tuvalu,8,52.98727989196775,71.58657964,35.2436,64.51525000000001,0.255
Uganda,7,32.6903381347656,7.486745177333333,74.4404,63.04625,864.4300000000001
Ukraine,11,NA,74.79368231666666,30.2296,70.31204268292683,12353.75
United Arab Emirates,12,82.4908040364583,99.78749949,12.708400000000001,79.1445,4248.235000000001
United Kingdom,11,99.1187744140625,94.67168881333333,15.8506,81.12865853658538,103453.75
United States,12,96.82836761474609,90.60132112000001,17.1244,77.3829268292683,446938.01
Uruguay,14,62.21666717529297,87.4021522075,4.399400000000002,77.3435,950.925
Uzbekistan,12,99.9097849527995,72.69680901,49.5452,71.05275,1067.65
Vanuatu,NA,39.288488388061495,56.78038957,74.3248,70.27925,11.165
"Venezuela, RB",17,NA,NA,11.668,71.22875,629.845
Viet Nam,10,60.158442497253425,72.94039484000001,61.9468,74.41725,7012.895
Virgin Islands (U.S.),NA,NA,NA,3.965200000000002,79.9689024390244,NA
West Bank and Gaza,10,72.59997177124022,79.27737231,22.993,74.14025000000001,486.59000000000003
"Yemen, Rep.",9,NA,NA,61.4508,64.30375000000001,243.755
Zambia,7,56.42261123657225,18.694481973333332,54.8022,62.04975,234.6
Zimbabwe,7,86.32460403442386,30.23360336,67.6666,60.265,455.89
