"Log.GDP.per.capita","Social.support","Healthy.life.expectancy.at.birth","Freedom.to.make.life.choices","Perceptions.of.corruption","Compulsory.education..duration..years.","Individuals.using.the.Internet....of.population.","Rural.population....of.total.population.","Log.Scientific.and.technical.journal.articles","Ladder.score"
0.253352680617076,0.629171414618265,0.561268209083119,0.645648604269294,0.688765057772679,0,0.340800578321163,0.832861823237184,0.377516885244097,-1.22309734513274
0.427936459447075,0.7216343805958,0.400171379605827,0.555336617405583,0.891584036712284,0.181818181818182,0.449222656662746,0.57134871331214,0.317303151183468,-0.745097345132743
0.226409042309455,0.625915676379619,0.571550985432734,0.741871921182266,0.79472260919446,0.363636363636364,0.397527761396073,0.959812270928729,0.487046014310252,-0.419097345132743
0.839147701237208,0.915025231971349,0.904027420736932,0.874220032840722,0.321478325002049,0.727272727272727,0.920985965899385,0.0905372298538805,0.771559211933456,1.74190265486726
0.779532610355889,0.941722285528243,0.862896315338475,0.892610837438424,0.182086372203557,0.454545454545455,0.927295335505086,0.160478704270812,0.657228388924104,1.45190265486726
0.308018939972506,0.788051440664171,0.701799485861183,0.885385878489327,0.594116200934196,0.181818181818182,0.481450325862935,0.494711309437007,0.181796795602298,0.706902654867257
0.280113028868184,0.633078300504639,0.338474721508141,0.64072249589491,0.957961157092518,0.363636363636364,0.468367221448512,0.574403807079457,0.64042248693431,-0.696097345132743
0.559401252482053,0.738889793260622,0.730934018851757,0.66863711001642,0.964844710317135,0.727272727272727,0.808559963793954,0.500498245204694,0.394395711116724,-0.208097345132743
0.872918894149992,0.94009441640892,0.902313624678663,0.985878489326765,0.184544784069491,0.454545454545455,0.979117633488779,0.202768785059449,0.690890634908302,1.72490265486726
0.292622575225294,0.366107764935699,0.420736932305056,0.621346469622332,0.85864131770876,0.636363636363636,0.125179641769436,0.760047539883921,0.70916809271033,-0.920097345132743
